Column1,ID,CID,QID,RID,EID,AID,Country,Question Text,Question Text (Short),Response,Education,Age,Weighted Mean,Cat ID,Category,Question Context
60,60,1,13,1,1,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,All Ages,86,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
61,61,1,13,2,1,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,All Ages,7,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
62,62,1,13,3,1,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,All Ages,5,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
63,63,1,13,1000,1,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,All Ages,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
273,273,1,13,1,1,2,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,Under 18,86,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
274,274,1,13,2,1,2,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,Under 18,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
275,275,1,13,3,1,2,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,Under 18,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
276,276,1,13,1000,1,2,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,Under 18,1,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
344,344,1,13,1,1,3,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,18 to 35,86,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
345,345,1,13,2,1,3,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,18 to 35,7,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
346,346,1,13,3,1,3,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,18 to 35,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
347,347,1,13,1000,1,3,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,18 to 35,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
415,415,1,13,1,1,4,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,36 to 59,85,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
416,416,1,13,2,1,4,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,36 to 59,8,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
417,417,1,13,3,1,4,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,36 to 59,5,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
418,418,1,13,1000,1,4,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,36 to 59,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
486,486,1,13,1,1,5,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,All Education,60 plus,86,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
487,487,1,13,2,1,5,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,All Education,60 plus,7,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
488,488,1,13,3,1,5,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,It doesn't matter - no country should work on climate change,All Education,60 plus,4,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
489,489,1,13,1000,1,5,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Don't know,All Education,60 plus,2,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
557,557,1,13,1,4,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,Yes - they should work together despite their disagreements,12 to 19,All Ages,87,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
558,558,1,13,2,4,1,Global,"Should countries work together on climate change even if they disagree on other issues, such as trade or security?",Countries working together,No - they should work separately,12 to 19,All Ages,6,4,Peoples' call for collaboration,"Climate change is a global problem that requires international solutions to fix, but at a time of escalating tensions over trade and geopolitics, countries may not want to work together. We asked people if they support countries working together on climate change despite their differences."
