Country,Q10_Don't_know,Q10_Not_at_all,Q10_Slowly,Q10_Somewhat_quickly,Q10_Very_quickly,Q11_A_little,Q11_A_lot,Q11_Don't_know,Q11_Not_at_all,Q12_About_the_same_as_now,Q12_Don't_know,Q12_Less_protection,Q12_More_protection,Q13_Don't_know,Q13_It_doesn't_matter___no_country_should_wo,Q13_No___they_should_work_separately,Q13_Yes___they_should_work_together_despite_,Q14_About_the_same_as_now,Q14_Don't_know,Q14_Less_help,Q14_More_help,Q15_About_the_same_as_now,Q15_Don't_know,Q15_Less,Q15_More,Q1_A_few_times_a_year,Q1_Daily,Q1_Don't_know,Q1_Never,Q1_Weekly,Q2_About_the_same,Q2_Don't_know,Q2_Less_worried,Q2_More_worried,Q3_Don't_know,Q3_Extremely,Q3_Not_at_all,Q3_Not_very,Q3_Somewhat,Q3_Very,Q4_About_the_same_as_usual,Q4_Better_than_usual,Q4_Don't_know,Q4_Worse_than_usual,Q5_A_little,Q5_A_lot,Q5_Don't_know,Q5_Not_at_all,Q6_Don't_know,Q6_Neither_well_nor_badly,Q6_Somewhat_badly,Q6_Somewhat_well,Q6_Very_badly,Q6_Very_well,Q7_Don't_know,Q7_Neither_well_nor_badly,Q7_Somewhat_badly,Q7_Somewhat_well,Q7_Very_badly,Q7_Very_well,Q8_Big_business,Q8_Campaigners_and_activists,Q8_Don't_know,Q8_Faith_and_community_leaders,Q8_Government,Q8_The_European_Union_EU,Q8_The_United_Nations,Q9_Don't_know,Q9_Keep_them_the_same,Q9_Strengthen,Q9_Weaken,Cluster,PC1,PC2
Afghanistan,10.5,2.5,41.5,10.0,35.0,5.5,91.5,2.0,1.5,6.0,1.5,2.5,90.0,2.0,0.5,4.0,94.0,2.5,0.0,1.0,96.5,6.0,0.5,1.5,91.5,6.5,56.0,3.0,6.0,28.5,7.0,1.5,11.0,80.5,4.5,32.5,3.5,1.5,20.5,37.5,22.0,14.0,11.0,52.5,17.5,73.0,3.0,6.5,11.5,21.5,8.5,25.0,17.0,17.0,8.0,18.0,10.5,24.5,15.0,23.5,6.5,2.0,30.5,3.5,23.0,0.0,33.5,8.5,13.5,75.5,2.0,0,2.587163405196733,-3.839080484031958
Algeria,8.5,9.0,10.5,21.0,50.5,3.5,94.5,0.5,2.0,5.0,1.0,1.0,93.5,2.0,1.5,11.5,84.5,5.0,1.5,3.0,90.5,4.0,0.0,1.0,95.0,13.0,54.0,0.5,12.0,20.0,16.5,0.5,12.0,71.5,3.0,21.0,14.0,9.0,28.0,25.0,18.5,8.0,1.0,73.0,23.5,47.5,0.5,28.0,10.0,43.5,16.5,15.0,9.5,5.5,22.5,37.0,16.5,10.5,11.5,2.0,10.5,9.5,23.0,19.0,32.5,0.0,6.0,3.0,5.5,74.5,16.0,0,1.1028371965211903,-1.0686047655950346
Argentina,9.333333333333334,4.666666666666667,14.333333333333334,47.0,25.333333333333332,5.333333333333333,93.33333333333333,0.3333333333333333,1.0,8.0,1.0,0.0,91.33333333333333,5.666666666666667,2.3333333333333335,5.333333333333333,86.66666666666667,14.0,3.6666666666666665,1.6666666666666667,80.33333333333333,14.666666666666666,2.3333333333333335,0.6666666666666666,82.33333333333333,36.0,32.0,0.6666666666666666,6.333333333333333,25.333333333333332,42.666666666666664,0.0,2.6666666666666665,54.666666666666664,0.3333333333333333,10.333333333333334,4.666666666666667,8.333333333333334,38.333333333333336,37.666666666666664,33.666666666666664,4.0,0.0,62.666666666666664,38.333333333333336,19.333333333333332,0.0,42.333333333333336,7.0,25.333333333333332,37.333333333333336,16.333333333333332,13.333333333333334,1.3333333333333333,12.666666666666666,22.0,31.0,14.666666666666666,18.0,1.3333333333333333,20.666666666666668,12.666666666666666,8.333333333333334,4.666666666666667,48.0,0.0,6.0,5.0,7.333333333333333,87.0,0.6666666666666666,1,-2.337389795882805,4.405168319396827
Australia,4.333333333333333,12.0,15.333333333333334,26.333333333333332,41.666666666666664,17.0,74.33333333333333,4.333333333333333,4.333333333333333,28.0,3.3333333333333335,4.0,64.33333333333333,2.6666666666666665,3.0,6.666666666666667,87.0,12.666666666666666,4.333333333333333,8.666666666666666,73.66666666666667,13.0,6.0,12.666666666666666,67.66666666666667,32.666666666666664,29.333333333333332,0.6666666666666666,12.0,25.666666666666668,24.666666666666668,1.6666666666666667,23.0,50.0,1.3333333333333333,18.666666666666668,13.333333333333334,12.333333333333334,25.666666666666668,28.333333333333332,52.333333333333336,6.666666666666667,3.0,37.333333333333336,34.0,24.333333333333332,0.6666666666666666,41.0,11.333333333333334,19.666666666666668,20.0,22.0,15.666666666666666,12.0,13.666666666666666,20.0,18.666666666666668,16.333333333333332,20.666666666666668,11.0,9.666666666666666,24.666666666666668,20.333333333333332,8.666666666666666,28.0,0.0,8.666666666666666,6.0,9.333333333333334,73.33333333333333,11.333333333333334,1,-6.259998103691442,-2.602563578587773
Bangladesh,3.5,1.5,23.0,17.0,55.0,8.0,91.5,0.0,0.0,9.0,1.0,3.0,87.5,0.5,0.0,4.5,94.5,5.0,0.5,3.0,92.0,5.5,0.0,0.5,93.5,33.0,40.0,1.0,9.5,16.5,21.5,2.0,18.0,58.5,1.0,6.5,12.5,9.0,39.0,32.0,14.5,18.0,0.5,67.5,42.0,34.0,0.5,23.5,1.0,25.0,9.0,33.5,7.5,24.5,5.5,24.5,15.5,31.0,8.5,16.0,15.0,4.5,11.5,3.0,52.5,0.0,13.0,0.5,11.5,85.0,3.0,0,2.4327605408891686,0.4882108901978897
Benin,1.5,8.5,39.0,17.0,34.0,7.0,92.0,0.0,1.0,0.5,0.5,1.5,97.0,1.0,0.5,6.0,92.5,2.0,1.0,3.0,94.0,2.5,0.0,2.5,95.5,42.5,39.5,0.5,5.5,12.5,16.0,0.5,24.0,59.0,1.0,24.0,5.0,8.0,20.0,42.0,29.5,18.0,0.5,52.0,26.5,40.5,0.0,32.5,7.0,20.5,10.0,36.0,9.0,18.0,14.5,18.0,10.5,30.5,14.0,12.5,7.5,18.0,5.0,5.5,53.5,0.0,10.5,0.0,2.0,96.5,1.5,0,3.5124381043988127,-0.054977281244215914
Bhutan,2.0,4.0,10.0,35.0,49.0,9.5,89.0,0.0,1.5,10.5,0.0,4.5,85.0,1.5,1.0,4.0,94.0,3.5,0.0,2.0,94.5,3.5,0.0,1.5,94.5,28.0,38.5,0.0,3.0,30.5,11.5,0.0,14.0,74.0,0.5,35.5,2.0,3.5,26.0,32.5,33.0,12.0,0.0,55.0,38.5,24.5,0.0,36.5,1.5,11.0,4.0,38.0,1.5,43.5,6.0,22.5,11.0,37.0,7.5,16.0,6.0,4.5,4.5,18.5,54.5,0.0,11.5,1.0,7.0,88.0,4.0,0,3.1718932006400395,0.7836135026148716
Brazil,4.5,3.0,11.0,20.5,61.0,7.5,89.5,1.0,2.5,5.0,1.5,2.0,91.5,3.5,1.0,4.0,91.0,5.5,2.0,2.5,90.0,3.5,1.5,1.0,94.0,19.0,49.0,1.5,6.5,25.0,23.0,0.0,2.5,74.5,0.0,29.5,3.0,3.5,21.5,42.5,25.0,3.5,1.0,71.0,41.5,32.5,1.0,25.5,3.5,20.0,24.5,12.5,37.0,3.0,5.0,18.0,23.5,11.0,38.5,3.5,20.5,14.0,21.0,7.5,27.5,0.0,9.5,2.0,9.5,86.0,2.5,0,1.779451357828527,1.8153397636075683
Burkina Faso,0.5,3.5,30.0,19.5,46.5,5.0,94.5,0.0,0.5,2.5,0.5,4.5,92.5,0.5,1.0,7.0,91.5,4.5,0.5,12.5,82.5,2.5,0.5,3.5,93.0,35.0,43.5,1.0,3.5,17.5,15.0,0.5,26.5,57.5,0.5,11.0,6.0,10.0,20.5,52.0,30.5,28.0,0.5,41.5,31.0,43.5,0.5,25.5,2.5,11.0,9.0,45.5,4.5,27.5,5.0,16.5,14.5,38.0,7.0,19.0,11.0,13.5,4.5,6.0,57.0,0.0,8.0,0.5,3.0,94.5,2.0,0,3.4404411677219384,-0.31196900447931075
Cambodia,4.5,4.0,16.0,35.5,40.5,1.0,98.5,0.0,0.5,2.0,0.0,1.5,96.5,2.5,0.0,4.5,93.0,7.5,3.0,4.0,86.0,3.5,1.0,0.0,95.5,26.0,35.0,0.5,17.5,20.5,32.5,0.0,16.5,51.0,0.0,6.5,9.5,3.0,45.5,35.0,41.5,14.0,0.0,44.0,42.0,26.0,0.0,32.5,4.5,52.0,15.0,22.5,2.5,3.0,11.5,47.0,19.0,17.5,3.0,2.5,1.0,7.0,23.0,1.5,62.5,0.0,4.5,1.5,5.0,91.0,2.5,0,0.2963173772915033,3.1716649698228956
