Feature,Importance
Q12_More_protection,0.053275828254758475
Q12_About_the_same_as_now,0.05240222776938979
Q15_More,0.052057869087027524
Q15_About_the_same_as_now,0.030616454913358068
Q4_Worse_than_usual,0.02812873248824379
Q14_About_the_same_as_now,0.02726904157160045
Q8_Government,0.026605360252173443
Q14_More_help,0.026353367954374766
Q4_About_the_same_as_usual,0.02557015904807911
Q3_Not_very,0.023982717609542854
Q11_Not_at_all,0.023953651286708764
Q10_Not_at_all,0.02373581889546082
Q13_Yes___they_should_work_together_despite_,0.0234630222453926
Q2_More_worried,0.022623292253282745
Q3_Very,0.02202964228558149
Q11_A_lot,0.019107201159784554
Q11_A_little,0.016600692425968247
Q3_Not_at_all,0.01621128731841074
Q5_Not_at_all,0.015993195260233208
Q13_No___they_should_work_separately,0.01583991292654788
Q6_Somewhat_badly,0.015060336941046183
Q2_About_the_same,0.014922963628173944
Q8_The_United_Nations,0.014845092342151573
Q15_Less,0.014796790814336986
Q10_Very_quickly,0.01376530094083361
Q8_Big_business,0.013606679973681117
Q7_Very_badly,0.013327137138102706
Q8_Faith_and_community_leaders,0.013109335581268417
Q1_Daily,0.012868897430505117
Q8_Don't_know,0.012166766761410047
Q1_Never,0.012141429464980076
Q7_Very_well,0.011858249931547346
Q5_A_lot,0.011716684230514984
Q10_Slowly,0.011673354198424336
Q1_A_few_times_a_year,0.011475874534676219
Q8_Campaigners_and_activists,0.010829549109746773
Q1_Weekly,0.010536413369120373
Q13_It_doesn't_matter___no_country_should_wo,0.009995084305032176
Q3_Extremely,0.00960730416179307
Q7_Somewhat_badly,0.009504381169668723
Q14_Less_help,0.009468852153134111
Q6_Very_well,0.009444727169867228
Q2_Less_worried,0.009335713460157819
Q1_Don't_know,0.009305444028477
Q6_Very_badly,0.009298495743687098
Q7_Somewhat_well,0.008900157909031784
Q6_Don't_know,0.008854552226963392
Q5_A_little,0.008746581082036234
Q6_Somewhat_well,0.008625084603341174
Q10_Don't_know,0.0083314821841817
Q10_Somewhat_quickly,0.008117105231995585
Q3_Don't_know,0.007696842990862891
Q3_Somewhat,0.007215637912396577
Q7_Neither_well_nor_badly,0.006855006242847681
Q4_Better_than_usual,0.006804958126080917
Q7_Don't_know,0.006466839403133675
Q6_Neither_well_nor_badly,0.005870438087695177
Q12_Less_protection,0.005537689934421149
Q14_Don't_know,0.004600608440203814
Q12_Don't_know,0.00450894649342523
Q15_Don't_know,0.004483880803600351
Q13_Don't_know,0.004360079174893381
Q4_Don't_know,0.004345612798205852
Q11_Don't_know,0.0038114990950982113
Q2_Don't_know,0.003637567833225331
Q5_Don't_know,0.002569902438059827
Country_El Salvador,0.0025002649685012634
Q8_The_European_Union_EU,0.00222664977294336
Age_36 to 59,0.0018088769183491082
Country_Dominican Republic (the),0.0014679531697179237
Age_60 plus,0.0012688531144462467
Country_Tanzania (the United Republic of),0.0010595085688097083
Country_Fiji,0.001025222053002681
Country_Democratic Republic of the Congo,0.0010106746213075243
Country_South Africa,0.0009844351355371218
Country_Guatemala,0.0009706488359460565
Country_Kyrgyzstan,0.0009628983258532619
Country_Spain,0.0008662844690377169
Country_Myanmar,0.000797750512669985
Country_Peru,0.0007390528242958344
Country_Tunisia,0.0007308844006429353
Country_Mozambique,0.0006495878985576312
Country_Algeria,0.0006393432876247239
Country_Paraguay,0.0005597405400349674
Country_Morocco,0.0005145520359880513
Country_Egypt,0.0005041235995446117
Country_Romania,0.0004995353349508399
Country_Zimbabwe,0.00046782297988607734
Country_United Kingdom of Great Britain and Northern Ireland (the),0.00046457059974998403
Country_Burkina Faso,0.0004260089487448009
Country_Republic of Korea (the),0.000425648298551522
Country_France,0.0004243666237991869
Country_Uganda,0.0004123516066351911
Country_Nicaragua,0.0003848640165362557
Country_Madagascar,0.00032144940734819653
Country_Cambodia,0.00029024240296476997
Country_Colombia,0.00028295111262023907
Country_Bangladesh,0.0002657901055066162
Country_United States of America (the),0.00026140759685516714
Country_Iran (Islamic Republic of),0.00025468473162306506
Country_Lao PDR,0.00022485502818368443
Country_Argentina,0.0002187203283540032
Country_Indonesia,0.0002135320143558971
Country_Nigeria,0.00018883646853353053
Country_Italy,0.00018776722930769952
Country_Pakistan,0.00018616156191368375
Country_Côte d'Ivoire,0.00018450249669919698
Country_Saudi Arabia,0.00016303871752092886
Country_Nepal,0.00016003581220972525
Country_Brazil,0.00014877486582419417
Country_Kenya,0.00014617417214819818
Country_Bhutan,0.00014487903920389249
Country_Benin,0.00013941403042093704
Country_Ghana,9.012605042016804e-05
Country_Honduras,8.123382151750487e-05
Country_Philippines (the),7.568559505179224e-05
Country_Haiti,6.267806267806268e-05
Country_Ecuador,4.7138713080168774e-05
Country_Canada,4.664057403783431e-05
Country_Niger (the),0.0
Country_Mexico,0.0
Country_Russian Federation (the),0.0
Country_Samoa,0.0
Country_Japan,0.0
Country_China,0.0
Country_Iraq,0.0
Country_Sri Lanka,0.0
Country_Sudan (the),0.0
Country_India,0.0
Country_Australia,0.0
Country_Germany,0.0
Country_Ethiopia,0.0
